channel_id,call_sign,clean_name,original_name,city_state,city,state,station_num,unique_station_num,gracenote_id,station_id,logo_color,logo_white,Status
PBS_KBDI,KBDI,PBS CO Broomfield (KBDI) [12.1],PBS12,"Broomfield, CO",Broomfield,CO,12.1,160121,35856,b4721bf0-b2c5-4568-ba88-69954956292f,https://image.pbs.org/stations/kbdi-color-cobranded-logo-9ntGj1S.png,https://image.pbs.org/stations/kbdi-white-cobranded-logo-LXx9kaY.png,Good
PBS_KRMA,KRMA,PBS CO Denver (KRMA) [6.1],Rocky Mountain PBS,"Denver, CO",Denver,CO,6.1,160061,21723,1cebd1cc-9ca8-49e4-8dfc-40aa63a08c6c,https://image.pbs.org/stations/krma-color-cobranded-logo-5wuRPLn.png,https://image.pbs.org/stations/krma-white-cobranded-logo-jbWBD5L.png,Good
PBS_WEDH,WEDH,PBS CT Hartford (WEDH) [24.1],Connecticut Public,"Hartford, CT",Hartford,CT,24.1,170241,53126,d7096786-0d6d-4b42-b1b6-df7934b92fcb,https://image.pbs.org/stations/wedh-color-single-brand-logo-76l7HY6.png,https://image.pbs.org/stations/wedh-white-single-brand-logo-kLCtD4A.png,Good
PBS_WHUT,WHUT,PBS DC Washington (WHUT) [32.1],WHUT - Howard University Television,"Washington, DC",Washington,DC,32.1,180321,59160,722b847a-5e2a-4d14-9429-2d430b10b1ee,https://image.pbs.org/stations/whut-color-single-brand-logo-K8B1xbK.png,https://image.pbs.org/stations/whut-white-single-brand-logo-ieKfaOV.png,Good
PBS_WXEL,WXEL,PBS FL Boynton Beach (WXEL) [42.1],WXEL South Florida PBS,"Boynton Beach, FL",Boynton Beach,FL,42.1,200421,24098,6f553836-7e24-445a-8c3c-cc418aaba9dc,https://image.pbs.org/stations/wxel-color-cobranded-logo-q5DODDu.png,https://image.pbs.org/stations/wxel-white-cobranded-logo-UdbdfIp.png,Good
PBS_WGCU,WGCU,PBS FL Ft Myers (WGCU) [30.1],WGCU Public Media,"Ft Myers, FL",Ft Myers,FL,30.1,200301,34337,19aacc3d-896b-4426-b319-ea0082ef6369,https://image.pbs.org/stations/wgcu-color-cobranded-logo-4WExUqg.png,https://image.pbs.org/stations/wgcu-white-cobranded-logo-gGSUcLj.png,Good
PBS_WUFT,WUFT,PBS FL Gainesville (WUFT) [36.1],Florida's 5 WUFT-TV,"Gainesville, FL",Gainesville,FL,36.1,200361,35102,d437f31a-0cda-416a-8357-ea90b21fc866,https://image.pbs.org/stations/wuft-color-cobranded-logo-iK16pnJ.png,https://image.pbs.org/stations/wuft-white-cobranded-logo-gJcfbOo.png,Good
PBS_WJCT,WJCT,PBS FL Jacksonville (WJCT) [7.1],Jax PBS,"Jacksonville, FL",Jacksonville,FL,7.1,200071,34930,5eee712c-8713-4283-8af1-c0ba9d25d6fd,https://image.pbs.org/stations/wjct-color-cobranded-logo-HY1ohKx.png,https://image.pbs.org/stations/wjct-white-cobranded-logo-xJrxRxV.png,Good
PBS_WLRN,WLRN,PBS FL Miami (WLRN) [17.1],WLRN Public Media,"Miami, FL",Miami,FL,17.1,200171,19585,8f70a678-a636-4dfa-873e-699f0212f78b,https://image.pbs.org/stations/wlrn-color-cobranded-logo-gsKo7Tp.png,https://image.pbs.org/stations/wlrn-white-cobranded-logo-qQDomUy.png,Good
PBS_WPBT,WPBT,PBS FL Miami (WPBT) [2.1],WPBT South Florida PBS,"Miami, FL",Miami,FL,2.1,200021,26192,b2c0d4c6-4544-4bb3-8d2d-bc803c5d7381,https://image.pbs.org/stations/wpbt-color-cobranded-logo-QKMOlbI.png,https://image.pbs.org/stations/wpbt-white-cobranded-logo-bkt07uY.png,Good
PBS_WUCF,WUCF,PBS FL Orlando (WUCF) [24.1],WUCF,"Orlando, FL",Orlando,FL,24.1,200241,35220,70dc9cfa-54dd-47f1-8039-e518544fd496,https://image.pbs.org/stations/wucf-color-cobranded-logo-vRsxUz5.png,https://image.pbs.org/stations/wucf-white-cobranded-logo-xgf5nBw.png,Good
PBS_WSRE,WSRE,PBS FL Pensacola (WSRE) [23.1],WSRE PBS,"Pensacola, FL",Pensacola,FL,23.1,200231,27128,fc47f495-57b9-4aea-bb6b-d2ce52b74ea1,https://image.pbs.org/stations/wsre-color-cobranded-logo-C8DUfBI.png,https://image.pbs.org/stations/wsre-white-cobranded-logo-vC8oDCh.png,Good
PBS_WFSU,WFSU,PBS FL Tallahassee (WFSU) [11.1],WFSU,"Tallahassee, FL",Tallahassee,FL,11.1,200111,35387,da7db8ae-5c3b-450e-9a25-76aa661eac79,https://image.pbs.org/stations/wfsu-color-cobranded-logo-ok3uUgp.png,https://image.pbs.org/stations/wfsu-white-cobranded-logo-DMhhXez.png,Good
PBS_WEDU,WEDU,PBS FL Tampa (WEDU) [3.1],WEDU PBS,"Tampa, FL",Tampa,FL,3.1,200031,35193,c4ab80c1-ca8c-4a6e-a8b5-c5995919792b,https://image.pbs.org/stations/wedu-color-cobranded-logo-87oN0he.png,https://image.pbs.org/stations/wedu-white-cobranded-logo-8EfAhhe.png,Good
